Tue Aug 10 16:31:22 2021    stocks_complexity.py.stats

         500363111 function calls (493977509 primitive calls) in 5726.525 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13007    0.054    0.000    1.857    0.000 datetimelike.py:907(inferred_freq)
   359760    0.351    0.000    1.833    0.000 {method 'any' of 'numpy.ndarray' objects}
     9507    0.089    0.000    1.832    0.000 generic.py:4851(_reindex_with_indexers)
   383427    0.888    0.000    1.812    0.000 _dtype.py:321(_name_get)
    13007    0.103    0.000    1.804    0.000 frequencies.py:127(infer_freq)
4950651/4950312    1.422    0.000    1.800    0.000 {built-in method builtins.hasattr}
      664    1.795    0.003    1.795    0.003 {built-in method io.open}
  1073236    0.729    0.000    1.789    0.000 common.py:1420(is_extension_array_dtype)
   148724    0.039    0.000    1.788    0.000 {method 'extend' of 'list' objects}
     7840    0.085    0.000    1.787    0.000 models.py:358(prepare_url)
      684    0.015    0.000    1.781    0.003 frame.py:8826(append)
    12956    0.015    0.000    1.772    0.000 __init__.py:201(_case_insensitive_zone_lookup)
    19590    0.188    0.000    1.767    0.000 construction.py:586(_extract_index)
     7840    0.048    0.000    1.757    0.000 ssl.py:1120(getpeercert)
    13578    0.120    0.000    1.748    0.000 format.py:489(__init__)
        1    0.000    0.000    1.747    1.747 lazy.py:97(_lazy)
      594    0.001    0.000    1.747    0.003 __init__.py:1111(<genexpr>)
      593    0.004    0.000    1.745    0.003 __init__.py:111(resource_exists)
