,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Security Code
478,"Elecon Engineering Co.Ltd.,",ELECON,Elecon Engineering Co.Ltd.,Active,B ,2,INE205B01023,Industrial Machinery,Equity,505700
479,"Deccan Bearings Ltd.,",DECANBRG,Deccan Bearings Ltd.,Active,XT,10,INE498D01012,Industrial Machinery,Equity,505703
480,"Grauer & Weil (India) Ltd.,",GRAUWEIL,Grauer & Weil (India) Ltd.-$,Active,X ,1,INE266D01021,Commodity Chemicals,Equity,505710
481,"Gajra Bevel Gears Ltd.,",GAJRA,Gajra Bevel Gears Ltd.-$,Active,XT,10,INE282D01010,Auto Parts & Equipment,Equity,505711
482,HIM TEKNOFORGE LIMITED,HIMTEK,Him Teknoforge Ltd,Active,X ,2,INE705G01021,Auto Parts & Equipment,Equity,505712
483,Gabriel India Ltd.,GABRIEL,Gabriel India Ltd.-$,Active,A ,1,INE524A01029,Auto Parts & Equipment,Equity,505714
484,"Hercules Hoists Ltd.,",HERCULES,Hercules Hoists Ltd.,Active,B ,1,INE688E01024,Industrial Machinery,Equity,505720
485,"Hindustan Everest Tools Ltd.,",HINDEVER,Hindustan Everest Tools Ltd.,Active,XT,10,INE598D01019,Other Industrial Goods,Equity,505725
486,IFB Industries Limited,IFBIND,IFB Industries Ltd.,Active,A ,10,INE559A01017,Household Appliances,Equity,505726
487,Singer India Limited,SINGER,Singer India Ltd.,Active,X ,2,INE638A01035,Household Appliances,Equity,505729
488,International Combustion (India) Lt,INTLCOMBQ,International Combustion (India) Ltd.,Active,X ,10,INE403C01014,Industrial Machinery,Equity,505737
489,Federal-Mogul Goetze (India) Ltd,FMGOETZE,Federal-Mogul Goetze (India) Ltd.,Active,A ,10,INE529A01010,Auto Parts & Equipment,Equity,505744
490,"Josts Engineering Co. Ltd.,",JOSTS,Jost'S Engineering Co.Ltd.,Active,X ,5,INE636D01025,Industrial Machinery,Equity,505750
491,Schaeffler India Limited,SCHAEFFLER,Schaeffler India Ltd,Active,A ,10,INE513A01014,Industrial Machinery,Equity,505790
492,Rane Holdings Ltd.,RANEHOLDIN,Rane Holdings Ltd.,Active,A ,10,INE384A01010,Auto Parts & Equipment,Equity,505800
493,"Rolcon Engineering Co. Ltd.,",ROLCOEN,Rolcon Engineering Co.Ltd.,Active,P ,10,INE775R01013,Other Industrial Products,Equity,505807
494,SNL Bearings Ltd.,SNL,Snl Bearings Ltd.,Active,X ,10,INE568F01017,Other Industrial Goods,Equity,505827
495,Jaipan Industries Ltd,JAIPAN,Jaipan Industries Ltd.,Active,X ,10,INE058D01030,Household Appliances,Equity,505840
496,Mangal Credit and Fincorp Limited,MANCREDIT,Mangal Credit And Fincorp Ltd.,Active,X ,10,INE545L01039,Finance (including NBFCs),Equity,505850
497,TRF Ltd,TRF,Trf Ltd.-$,Active,T ,10,INE391D01019,Industrial Machinery,Equity,505854
498,WPIL Ltd,WPIL,Wpil Ltd.,Active,X ,10,INE765D01014,Industrial Machinery,Equity,505872
